gsis_id,name,team,position,espn_rank,sleeper_rank,depth_disagreement,status_flag,play_prob,injury_body_part,practice,news_age_hours,n_blockers,blockers_out,opportunity_ahead,blocked_by
00-0033555,Mack Hollins,NE,WR,3,2.0,1.0,healthy,0.97,,,46.3,2,0,0.01,Romeo Doubs (healthy); DeMario Douglas (healthy)
00-0040131,Kyle Williams,NE,WR,4,4.0,0.0,healthy,0.97,,,36.2,3,0,0.015,Romeo Doubs (healthy); DeMario Douglas (healthy); Mack Hollins (healthy)
00-0040563,Efton Chism III,NE,WR,5,5.0,0.0,healthy,0.97,,,352.2,4,0,0.017,Romeo Doubs (healthy); DeMario Douglas (healthy); Mack Hollins (healthy); Kyle Williams (healthy)
00-0035676,A.J. Brown,NE,WR,6,6.0,0.0,ir,0.02,Ankle,,262.5,5,0,0.018,Romeo Doubs (healthy); DeMario Douglas (healthy); Mack Hollins (healthy); Kyle Williams (healthy); Efton Chism III (healthy)
00-0040570,Jeremiah Webb,NE,WR,7,7.0,0.0,ir,0.02,Arm,,1433.0,6,1,0.018,Romeo Doubs (healthy); DeMario Douglas (healthy); Mack Hollins (healthy); Kyle Williams (healthy); Efton Chism III (healthy); A.J. Brown (ir)
00-0040743,Tyler Shough,NO,QB,1,1.0,0.0,healthy,0.97,,,47.7,0,0,0.0,nobody
00-0039376,Spencer Rattler,NO,QB,2,2.0,0.0,healthy,0.97,,,611.9,1,0,0.0,Tyler Shough (healthy)
00-0037013,Zach Wilson,NO,QB,3,3.0,0.0,healthy,0.97,,,95.1,2,0,0.0,Tyler Shough (healthy); Spencer Rattler (healthy)
00-0036973,Travis Etienne Jr.,NO,RB,1,1.0,0.0,questionable,0.72,Hamstring,,18.1,0,0,0.0,nobody
00-0033906,Alvin Kamara,NO,RB,2,2.0,0.0,healthy,0.97,,,67.3,1,0,0.134,Travis Etienne Jr. (questionable)
00-0041326,CJ Donaldson,NO,RB,3,4.0,1.0,healthy,0.97,,,132.2,2,0,0.143,Travis Etienne Jr. (questionable); Alvin Kamara (healthy)
00-0038551,Kendre Miller,NO,RB,4,3.0,1.0,healthy,0.97,,,95.3,3,0,0.144,Travis Etienne Jr. (questionable); Alvin Kamara (healthy); CJ Donaldson (healthy)
00-0037276,Ty Chandler,NO,RB,5,5.0,0.0,ir,0.02,Knee,,712.6,4,0,0.144,Travis Etienne Jr. (questionable); Alvin Kamara (healthy); CJ Donaldson (healthy); Kendre Miller (healthy)
00-0036040,Juwan Johnson,NO,TE,1,1.0,0.0,healthy,0.97,,,67.4,0,0,0.0,nobody
00-0035644,Noah Fant,NO,TE,2,2.0,0.0,healthy,0.97,,,130.1,1,0,0.005,Juwan Johnson (healthy)
00-0041041,Oscar Delp,NO,TE,3,3.0,0.0,healthy,0.97,,,36.1,2,0,0.007,Juwan Johnson (healthy); Noah Fant (healthy)
